project	det_plate
ABY	ABY001_PC3_XH_X1_B15
ABY	ABY001_HT29_XH_X1_B15
ABY	ABY001_SUDHL4_XH_X1_B15
ABY	ABY001_NCIH2073_XH_X1_B15
ABY	ABY001_HEPG2_XH_X1_B15
ABY	ABY001_H1975_XH_X1_B15
ABY	ABY001_A549_XH_X1_B15
ABY	ABY001_SKBR3_XH_X1_B15
ABY	ABY001_A375_XH_X1_B15
ABY	ABY001_NCIH596_XH_X1_B15
ABY	ABY001_NCIH508_XH_X1_B15
ABY	ABY001_NCIH1975_XH_X1_B15
ABY	ABY001_MCF7_XH_X1_B15
ALT	ALT001_BJER_24H_X1_F1B3_DUO52HI53LO
BASE	WNT.BASE001_HUTU80_96H_X1_B12
BASE	TA.BASE001_NCI-H1975_96H_X1_B15
BASE	WNT.BASE001_XC_96H_X1_B12
BASE	RNAI.BASE001_HA1E_72H_X1_B12
BASE	RNAI.BASE001_HT29_72H_X1_B12
BASE	RNAI.BASE001_A549_24H_X1_B12
BASE	ROC.BASE001_HA1E_6H_X1_F1B10
BASE	LJP.BASE001_MCF10A_XH_X1_B17
BASE	ROC.BASE001_MCF7_6H_X1_F1B10
BASE	BASE001_ISLET_XH_X1_B10_DUO52HI53LO
BASE	ROC.BASE001_HA1E_24H_X1_F1B10
BASE	TA.BASE003_PC14_96H_X1_B15
BASE	WNT.BASE001_HT29_96H_X1_B12
BASE	WNT.BASE001_SW480_96H_X1_B12
BASE	MUC.BASE001_XC_72H_X1_B10_DUO52HI53LO
BASE	TA.BASE002_AALE_144H_X1_F1B5_DUO52HI53LO
BASE	TA.BASE002_AALE_120H_X1_F1B5_DUO52HI53LO
BASE	RNAI.BASE001_XC_24H_X1_B12
BASE	TA.BASE002_SALE_144H_X1_F1B5_DUO52HI53LO
BASE	TA.BASE001_NCI-H1299_96H_X1_B15
BASE	TA.BASE002_AALE_96H_X1_F1B5_DUO52HI53LO
BASE	LJP.BASE001_MCF7_XH_X1_B17
BASE	WNT.BASE001_HT55_96H_X1_B12
BASE	ROC.BASE002_MAC_6H_X1_B13
BASE	BASE012_U2OS_24H_X1_B10_DUO52HI53LO
BASE	LJP.BASE001_BT20_XH_X1_B17
BASE	ROC.BASE001_A549_24H_X1_F1B10
BASE	TA.BASE002_AALE_96H_X1_B15
BASE	RNAI.BASE001_HA1E_24H_X1_B12
BASE	ROC.BASE001_HT29_24H_X1_F1B10
BASE	WNT.BASE001_DLD1_96H_X1_B12
BASE	RNAI.BASE001_HT29_24H_X1_B12
BASE	ROC.BASE001_MCF7_24H_X1_F1B10
BASE	LJP.BASE001_MDAMB231_XH_X1_B17
BASE	RNAI.BASE001_XC_72H_X1_B12
BASE	TA.BASE002_SALE_96H_X1_B15
BASE	TA.BASE002_SALE_120H_X1_F1B5_DUO52HI53LO
BASE	LJP.BASE001_HME1_XH_X1_B17
BASE	RNAI.BASE001_A549_72H_X1_B12
BASE	ROC.BASE001_HEPG2_24H_X1_F1B10
BASE	ROC.BASE001_HEPG2_6H_X1_F1B10
