well 	quad_96	well_96
A01	Q1	A01
A02	Q2	A01
B01	Q3	A01
B02	Q4	A01
A03	Q1	A02
A04	Q2	A02
B03	Q3	A02
B04	Q4	A02
A05	Q1	A03
A06	Q2	A03
B05	Q3	A03
B06	Q4	A03
A07	Q1	A04
A08	Q2	A04
B07	Q3	A04
B08	Q4	A04
A09	Q1	A05
A10	Q2	A05
B09	Q3	A05
B10	Q4	A05
A11	Q1	A06
A12	Q2	A06
B11	Q3	A06
B12	Q4	A06
A13	Q1	A07
A14	Q2	A07
B13	Q3	A07
B14	Q4	A07
A15	Q1	A08
A16	Q2	A08
B15	Q3	A08
B16	Q4	A08
A17	Q1	A09
A18	Q2	A09
B17	Q3	A09
B18	Q4	A09
A19	Q1	A10
A20	Q2	A10
B19	Q3	A10
B20	Q4	A10
A21	Q1	A11
A22	Q2	A11
B21	Q3	A11
B22	Q4	A11
A23	Q1	A12
A24	Q2	A12
B23	Q3	A12
B24	Q4	A12
C01	Q1	B01
C02	Q2	B01
D01	Q3	B01
D02	Q4	B01
C03	Q1	B02
C04	Q2	B02
D03	Q3	B02
D04	Q4	B02
C05	Q1	B03
C06	Q2	B03
D05	Q3	B03
D06	Q4	B03
C07	Q1	B04
C08	Q2	B04
D07	Q3	B04
D08	Q4	B04
C09	Q1	B05
C10	Q2	B05
D09	Q3	B05
D10	Q4	B05
C11	Q1	B06
C12	Q2	B06
D11	Q3	B06
D12	Q4	B06
C13	Q1	B07
C14	Q2	B07
D13	Q3	B07
D14	Q4	B07
C15	Q1	B08
C16	Q2	B08
D15	Q3	B08
D16	Q4	B08
C17	Q1	B09
C18	Q2	B09
D17	Q3	B09
D18	Q4	B09
C19	Q1	B10
C20	Q2	B10
D19	Q3	B10
D20	Q4	B10
C21	Q1	B11
C22	Q2	B11
D21	Q3	B11
D22	Q4	B11
C23	Q1	B12
C24	Q2	B12
D23	Q3	B12
D24	Q4	B12
E01	Q1	C01
E02	Q2	C01
F01	Q3	C01
F02	Q4	C01
E03	Q1	C02
E04	Q2	C02
F03	Q3	C02
F04	Q4	C02
E05	Q1	C03
E06	Q2	C03
F05	Q3	C03
F06	Q4	C03
E07	Q1	C04
E08	Q2	C04
F07	Q3	C04
F08	Q4	C04
E09	Q1	C05
E10	Q2	C05
F09	Q3	C05
F10	Q4	C05
E11	Q1	C06
E12	Q2	C06
F11	Q3	C06
F12	Q4	C06
E13	Q1	C07
E14	Q2	C07
F13	Q3	C07
F14	Q4	C07
E15	Q1	C08
E16	Q2	C08
F15	Q3	C08
F16	Q4	C08
E17	Q1	C09
E18	Q2	C09
F17	Q3	C09
F18	Q4	C09
E19	Q1	C10
E20	Q2	C10
F19	Q3	C10
F20	Q4	C10
E21	Q1	C11
E22	Q2	C11
F21	Q3	C11
F22	Q4	C11
E23	Q1	C12
E24	Q2	C12
F23	Q3	C12
F24	Q4	C12
G01	Q1	D01
G02	Q2	D01
H01	Q3	D01
H02	Q4	D01
G03	Q1	D02
G04	Q2	D02
H03	Q3	D02
H04	Q4	D02
G05	Q1	D03
G06	Q2	D03
H05	Q3	D03
H06	Q4	D03
G07	Q1	D04
G08	Q2	D04
H07	Q3	D04
H08	Q4	D04
G09	Q1	D05
G10	Q2	D05
H09	Q3	D05
H10	Q4	D05
G11	Q1	D06
G12	Q2	D06
H11	Q3	D06
H12	Q4	D06
G13	Q1	D07
G14	Q2	D07
H13	Q3	D07
H14	Q4	D07
G15	Q1	D08
G16	Q2	D08
H15	Q3	D08
H16	Q4	D08
G17	Q1	D09
G18	Q2	D09
H17	Q3	D09
H18	Q4	D09
G19	Q1	D10
G20	Q2	D10
H19	Q3	D10
H20	Q4	D10
G21	Q1	D11
G22	Q2	D11
H21	Q3	D11
H22	Q4	D11
G23	Q1	D12
G24	Q2	D12
H23	Q3	D12
H24	Q4	D12
I01	Q1	E01
I02	Q2	E01
J01	Q3	E01
J02	Q4	E01
I03	Q1	E02
I04	Q2	E02
J03	Q3	E02
J04	Q4	E02
I05	Q1	E03
I06	Q2	E03
J05	Q3	E03
J06	Q4	E03
I07	Q1	E04
I08	Q2	E04
J07	Q3	E04
J08	Q4	E04
I09	Q1	E05
I10	Q2	E05
J09	Q3	E05
J10	Q4	E05
I11	Q1	E06
I12	Q2	E06
J11	Q3	E06
J12	Q4	E06
I13	Q1	E07
I14	Q2	E07
J13	Q3	E07
J14	Q4	E07
I15	Q1	E08
I16	Q2	E08
J15	Q3	E08
J16	Q4	E08
I17	Q1	E09
I18	Q2	E09
J17	Q3	E09
J18	Q4	E09
I19	Q1	E10
I20	Q2	E10
J19	Q3	E10
J20	Q4	E10
I21	Q1	E11
I22	Q2	E11
J21	Q3	E11
