SAMPLE_NAME	PERT_TYPE	PERT_MFC_DESC	CCSCORE	DYN_RANGE	DYN_RANGE_MAX	SPAN	MED_INT	MED_GAPDH	INV_LEVEL_01	INV_LEVEL_02	INV_LEVEL_03	INV_LEVEL_04	INV_LEVEL_05	INV_LEVEL_06	INV_LEVEL_07	INV_LEVEL_08	INV_LEVEL_09	INV_LEVEL_10
1(1,A1)	lma_x	BO	0.96295	3.25	3.25	9	10.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	7.00	8.00	8.00	13.00
2(1,B1)	lma_x	PMCF7	0.95078	4	4	9	9.50	NA	3.00	4.00	5.00	4.00	5.00	5.00	6.00	6.00	7.00	12.00
3(1,C1)	TRT	TRT	0.966092	3.66667	3.66667	8	9.00	NA	3.00	4.00	5.00	5.00	5.00	5.00	6.00	7.00	7.00	11.00
4(1,D1)	TRT	TRT	0.956636	3	3	8	9.50	NA	4.00	5.00	5.00	5.00	5.00	6.00	7.00	7.00	7.00	12.00
5(1,E1)	TRT	TRT	0.98165	2.75	2.75	7	9.50	NA	4.00	4.00	4.50	5.00	5.00	5.00	6.00	7.00	7.00	11.00
6(1,F1)	TRT	TRT	0.95078	3.25	3.25	9	10.00	NA	4.00	5.00	5.00	6.00	5.00	6.00	7.00	7.00	8.00	13.00
7(1,G1)	TRT	TRT	0.972345	3	3	8	9.25	NA	4.00	4.00	5.00	5.00	5.00	7.00	7.00	7.00	8.00	12.00
8(1,H1)	TRT	TRT	0.932259	3	3	8	10.00	NA	4.00	4.00	6.00	6.00	4.50	6.00	7.00	7.00	9.00	12.00
9(1,I1)	TRT	TRT	0.87885	2.75	2.75	7	9.00	NA	4.00	5.00	5.00	5.00	4.00	6.00	6.00	6.00	7.00	11.00
10(1,J1)	TRT	TRT	0.963128	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	6.00	7.00	6.00	8.00	11.00
11(1,K1)	TRT	TRT	0.811899	2.75	2.75	7	9.00	NA	4.00	5.00	6.00	5.00	4.00	6.00	6.00	6.00	7.00	11.00
12(1,L1)	TRT	TRT	0.83965	2.75	2.75	7	9.00	NA	4.00	4.00	6.00	6.00	4.00	5.00	7.00	8.00	7.00	11.00
13(1,M1)	TRT	TRT	0.941936	4	4	9	9.00	NA	3.00	4.00	5.00	5.00	4.00	6.00	7.00	7.00	8.00	12.00
14(1,N1)	TRT	TRT	0.876694	3.25	3.25	9	10.00	NA	4.00	5.00	6.00	6.00	4.00	6.00	7.00	7.00	8.00	13.00
15(1,O1)	TRT	TRT	0.935819	2.75	2.75	7	10.00	NA	4.00	4.00	5.00	4.50	5.00	6.00	7.00	7.00	6.50	11.00
16(1,P1)	TRT	TRT	0.938721	3	3	8	9.00	NA	4.00	4.00	6.00	5.00	5.00	6.00	7.00	7.00	8.00	12.00
17(1,A2)	lma_x	RMCF7	0.96295	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	6.00	6.00	6.00	6.00	7.00	11.00
18(1,B2)	lma_x	RMCF7	0.853172	3.66667	3.66667	8	9.00	NA	3.00	4.00	5.00	6.00	5.00	5.00	5.00	6.00	7.00	11.00
19(1,C2)	TRT	TRT	0.966092	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	7.00	8.00	11.00
20(1,D2)	TRT	TRT	0.975628	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.50	5.00	6.00	7.00	7.50	8.00	11.00
21(1,E2)	TRT	TRT	0.98165	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	5.00	6.00	7.00	7.00	8.00	12.00
22(1,F2)	TRT	TRT	0.98165	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	5.00	6.00	6.00	7.00	8.00	12.00
23(1,G2)	TRT	TRT	0.96295	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	7.00	7.00	11.00
24(1,H2)	TRT	TRT	0.978558	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	5.00	6.00	6.00	7.00	7.00	11.00
25(1,I2)	TRT	TRT	0.98165	3	3	8	9.50	NA	4.00	4.00	5.00	5.00	5.00	6.00	6.00	7.00	8.00	12.00
26(1,J2)	TRT	TRT	0.932259	3	3	8	9.25	NA	4.00	4.00	5.00	6.00	5.00	5.00	7.00	7.00	8.00	12.00
27(1,K2)	TRT	TRT	0.98165	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	6.00	6.00	6.00	7.00	8.00	12.00
28(1,L2)	TRT	TRT	0.87395	4	4	9	9.00	NA	3.00	4.00	7.00	5.00	5.00	6.00	7.00	7.00	9.00	12.00
29(1,M2)	TRT	TRT	0.947413	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	5.00	6.00	6.00	6.50	6.00	10.00
30(1,N2)	TRT	TRT	0.910015	2.75	2.75	7	9.50	NA	4.00	4.00	5.00	5.00	4.00	7.00	7.00	7.00	8.00	11.00
31(1,O2)	TRT	TRT	0.897549	3	3	8	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	7.00	12.00
32(1,P2)	TRT	TRT	0.966268	3.33333	3.33333	7	9.00	NA	3.00	4.00	5.00	5.00	5.00	6.00	7.00	6.00	8.00	10.00
33(1,A3)	TRT	TRT	0.978558	2.5	2.5	6	9.50	NA	4.00	4.00	5.00	5.00	5.00	6.00	6.00	7.00	7.00	10.00
34(1,B3)	TRT	TRT	0.889041	2.75	2.75	7	9.00	NA	4.00	5.00	5.00	5.00	4.00	6.00	7.00	7.00	8.00	11.00
