SAMPLE_NAME	QUALITY_SCORE
1(1,A1)	0.96
2(1,B1)	0.95
3(1,C1)	0.97
4(1,D1)	0.96
5(1,E1)	0.98
6(1,F1)	0.95
7(1,G1)	0.97
8(1,H1)	0.93
9(1,I1)	0.88
10(1,J1)	0.96
11(1,K1)	0.81
12(1,L1)	0.84
13(1,M1)	0.94
14(1,N1)	0.88
15(1,O1)	0.94
16(1,P1)	0.94
17(1,A2)	0.96
18(1,B2)	0.85
19(1,C2)	0.97
20(1,D2)	0.98
21(1,E2)	0.98
22(1,F2)	0.98
23(1,G2)	0.96
24(1,H2)	0.98
25(1,I2)	0.98
26(1,J2)	0.93
27(1,K2)	0.98
28(1,L2)	0.87
29(1,M2)	0.95
30(1,N2)	0.91
31(1,O2)	0.90
32(1,P2)	0.97
33(1,A3)	0.98
34(1,B3)	0.89
35(1,C3)	0.96
36(1,D3)	0.90
37(1,E3)	0.98
38(1,F3)	0.97
39(1,G3)	0.98
40(1,H3)	0.96
41(1,I3)	0.96
42(1,J3)	0.92
43(1,K3)	0.96
44(1,L3)	0.88
45(1,M3)	0.90
46(1,N3)	0.88
47(1,O3)	0.93
48(1,P3)	0.99
49(1,A4)	0.97
50(1,B4)	0.92
51(1,C4)	0.85
52(1,D4)	0.93
53(1,E4)	0.95
54(1,F4)	0.86
55(1,G4)	0.96
56(1,H4)	0.90
57(1,I4)	0.92
58(1,J4)	0.96
59(1,K4)	0.97
60(1,L4)	0.92
61(1,M4)	0.98
62(1,N4)	0.90
63(1,O4)	0.92
64(1,P4)	0.83
65(1,A5)	0.97
67(1,C5)	0.95
68(1,D5)	0.94
69(1,E5)	0.90
70(1,F5)	0.90
71(1,G5)	0.98
72(1,H5)	0.85
73(1,I5)	0.92
74(1,J5)	0.93
75(1,K5)	0.96
76(1,L5)	0.88
77(1,M5)	0.96
78(1,N5)	0.88
79(1,O5)	0.96
80(1,P5)	0.96
81(1,A6)	0.92
82(1,B6)	0.83
83(1,C6)	0.98
84(1,D6)	0.89
85(1,E6)	0.83
86(1,F6)	0.89
87(1,G6)	0.96
88(1,H6)	0.96
89(1,I6)	0.88
90(1,J6)	0.93
91(1,K6)	0.96
92(1,L6)	0.93
93(1,M6)	0.88
94(1,N6)	0.89
95(1,O6)	0.97
96(1,P6)	0.83
97(1,A7)	0.96
98(1,B7)	0.90
99(1,C7)	0.96
100(1,D7)	0.94
101(1,E7)	0.98
102(1,F7)	0.81
103(1,G7)	0.96
104(1,H7)	0.96
105(1,I7)	0.98
106(1,J7)	0.91
107(1,K7)	0.96
108(1,L7)	0.95
109(1,M7)	0.96
110(1,N7)	0.90
111(1,O7)	0.96
112(1,P7)	0.85
113(1,A8)	0.90
114(1,B8)	0.89
115(1,C8)	0.96
116(1,D8)	0.97
117(1,E8)	0.92
118(1,F8)	0.96
119(1,G8)	0.93
120(1,H8)	0.87
121(1,I8)	0.95
122(1,J8)	0.95
123(1,K8)	0.93
124(1,L8)	0.96
125(1,M8)	0.97
126(1,N8)	0.94
127(1,O8)	0.87
128(1,P8)	0.94
129(1,A9)	0.92
130(1,B9)	0.90
131(1,C9)	0.96
132(1,D9)	0.94
133(1,E9)	0.87
134(1,F9)	0.91
135(1,G9)	0.95
136(1,H9)	0.92
137(1,I9)	0.89
138(1,J9)	0.97
139(1,K9)	0.96
140(1,L9)	0.91
141(1,M9)	0.90
142(1,N9)	0.96
143(1,O9)	0.89
144(1,P9)	0.95
145(1,A10)	0.96
146(1,B10)	0.89
147(1,C10)	0.93
148(1,D10)	0.93
149(1,E10)	0.96
150(1,F10)	0.93
151(1,G10)	0.98
152(1,H10)	0.96
153(1,I10)	0.89
154(1,J10)	0.97
155(1,K10)	0.95
156(1,L10)	0.81
157(1,M10)	0.98
158(1,N10)	0.96
159(1,O10)	0.92
160(1,P10)	0.94
161(1,A11)	0.93
162(1,B11)	0.93
163(1,C11)	0.93
164(1,D11)	0.88
165(1,E11)	0.98
166(1,F11)	0.97
167(1,G11)	0.96
168(1,H11)	0.95
169(1,I11)	0.95
170(1,J11)	0.96
171(1,K11)	0.90
172(1,L11)	0.98
173(1,M11)	0.93
174(1,N11)	0.95
175(1,O11)	0.90
176(1,P11)	0.93
177(1,A12)	0.92
178(1,B12)	0.88
179(1,C12)	0.92
180(1,D12)	0.94
181(1,E12)	0.88
182(1,F12)	0.66
183(1,G12)	0.96
184(1,H12)	0.98
185(1,I12)	0.98
186(1,J12)	0.94
187(1,K12)	0.91
188(1,L12)	0.98
189(1,M12)	0.90
190(1,N12)	0.99
191(1,O12)	0.96
192(1,P12)	0.90
193(1,A13)	0.86
194(1,B13)	0.94
195(1,C13)	0.97
196(1,D13)	0.89
197(1,E13)	0.90
198(1,F13)	0.92
199(1,G13)	0.92
200(1,H13)	0.91
201(1,I13)	0.94
202(1,J13)	0.91
203(1,K13)	0.95
204(1,L13)	0.92
205(1,M13)	0.97
206(1,N13)	0.90
207(1,O13)	0.96
208(1,P13)	0.82
209(1,A14)	0.97
210(1,B14)	0.97
211(1,C14)	0.97
212(1,D14)	0.96
213(1,E14)	0.96
214(1,F14)	0.90
215(1,G14)	0.96
216(1,H14)	0.98
217(1,I14)	0.90
218(1,J14)	0.90
219(1,K14)	0.96
220(1,L14)	0.93
221(1,M14)	0.82
222(1,N14)	0.88
223(1,O14)	0.96
224(1,P14)	0.96
225(1,A15)	0.97
226(1,B15)	0.97
227(1,C15)	0.96
228(1,D15)	0.90
229(1,E15)	0.88
230(1,F15)	0.86
231(1,G15)	0.93
232(1,H15)	0.98
233(1,I15)	0.93
234(1,J15)	0.96
235(1,K15)	0.98
236(1,L15)	0.95
237(1,M15)	0.96
238(1,N15)	0.97
239(1,O15)	0.89
240(1,P15)	0.95
241(1,A16)	0.90
242(1,B16)	0.96
243(1,C16)	0.85
244(1,D16)	0.98
245(1,E16)	0.89
246(1,F16)	0.90
247(1,G16)	0.97
248(1,H16)	0.99
249(1,I16)	0.96
250(1,J16)	0.90
251(1,K16)	0.90
252(1,L16)	0.81
253(1,M16)	0.97
254(1,N16)	0.96
255(1,O16)	0.91
256(1,P16)	0.95
257(1,A17)	0.89
258(1,B17)	0.90
259(1,C17)	0.95
260(1,D17)	0.96
261(1,E17)	0.91
262(1,F17)	0.94
263(1,G17)	0.98
264(1,H17)	0.96
265(1,I17)	0.96
266(1,J17)	0.96
267(1,K17)	0.95
268(1,L17)	0.93
269(1,M17)	0.96
270(1,N17)	0.92
271(1,O17)	0.95
272(1,P17)	0.93
273(1,A18)	0.92
274(1,B18)	0.96
275(1,C18)	0.98
276(1,D18)	0.89
277(1,E18)	0.95
278(1,F18)	0.90
279(1,G18)	0.95
280(1,H18)	0.96
281(1,I18)	0.85
282(1,J18)	0.96
283(1,K18)	0.93
284(1,L18)	0.84
285(1,M18)	0.96
286(1,N18)	0.90
287(1,O18)	0.93
288(1,P18)	0.98
289(1,A19)	0.94
290(1,B19)	0.89
291(1,C19)	0.96
292(1,D19)	0.98
293(1,E19)	0.92
294(1,F19)	0.97
295(1,G19)	0.93
296(1,H19)	0.91
297(1,I19)	0.90
298(1,J19)	0.95
299(1,K19)	0.96
300(1,L19)	0.90
301(1,M19)	0.94
302(1,N19)	0.96
303(1,O19)	0.86
304(1,P19)	0.92
305(1,A20)	0.90
306(1,B20)	0.87
307(1,C20)	0.89
308(1,D20)	0.76
309(1,E20)	0.96
310(1,F20)	0.91
311(1,G20)	0.89
312(1,H20)	0.78
313(1,I20)	0.96
314(1,J20)	0.95
315(1,K20)	0.90
316(1,L20)	0.95
317(1,M20)	0.94
318(1,N20)	0.90
319(1,O20)	0.88
320(1,P20)	0.90
321(1,A21)	0.96
322(1,B21)	0.80
323(1,C21)	0.90
324(1,D21)	0.89
325(1,E21)	0.90
326(1,F21)	0.97
327(1,G21)	0.93
328(1,H21)	0.90
329(1,I21)	0.86
330(1,J21)	0.89
331(1,K21)	0.93
332(1,L21)	0.90
333(1,M21)	0.94
334(1,N21)	0.97
335(1,O21)	0.90
336(1,P21)	0.98
337(1,A22)	0.95
338(1,B22)	0.92
339(1,C22)	0.92
340(1,D22)	0.98
341(1,E22)	0.93
342(1,F22)	0.98
343(1,G22)	0.94
344(1,H22)	0.92
345(1,I22)	0.82
346(1,J22)	0.96
347(1,K22)	0.93
348(1,L22)	0.96
349(1,M22)	0.96
350(1,N22)	0.91
351(1,O22)	0.92
352(1,P22)	0.92
353(1,A23)	0.88
354(1,B23)	0.90
355(1,C23)	0.85
356(1,D23)	0.98
357(1,E23)	0.97
